profile,date,text,link,likes,retweets
realDonaldTrump,"Oct 14, 2025 · 2:46 AM UTC",,https://twitter.com/realDonaldTrump/status/1977928905169269143#m,393039,56767
realDonaldTrump,"Oct 12, 2025 · 4:43 AM UTC","I am pleased to announce that the great Dan Scavino, in addition to remaining Deputy Chief of Staff of the Trump Administration, will head the White House Presidential Personnel Office, replacing Sergio Gor, who did a wonderful job in that position, and will now become the Ambassador to India. Dan will be responsible for the selection and appointment of almost all positions in government, a very big and important position. Congratulations Dan, you will do a fantastic job!!! President DJT",https://twitter.com/realDonaldTrump/status/1977233745997381756#m,336563,41356
realDonaldTrump,"Oct 3, 2025 · 3:33 AM UTC",,https://twitter.com/realDonaldTrump/status/1973954507001507920#m,321418,55965
realDonaldTrump,"Oct 3, 2025 · 3:30 AM UTC",,https://twitter.com/realDonaldTrump/status/1973953812517040164#m,489003,52810
realDonaldTrump,"Oct 1, 2025 · 3:02 AM UTC","It was great being with King Charles, Queen Camilla, and the Royal Family!",https://twitter.com/realDonaldTrump/status/1973221986429222933#m,417932,32330
realDonaldTrump,"Oct 1, 2025 · 3:01 AM UTC","Yes, I’m watching. Congratulations!",https://twitter.com/realDonaldTrump/status/1973221796427211262#m,500919,32342
realDonaldTrump,"Oct 1, 2025 · 3:00 AM UTC",,https://twitter.com/realDonaldTrump/status/1973221572585595221#m,453795,38549
realDonaldTrump,"Oct 1, 2025 · 2:49 AM UTC",,https://twitter.com/realDonaldTrump/status/1973218687831384293#m,270099,29553
realDonaldTrump,"Oct 1, 2025 · 2:48 AM UTC",,https://twitter.com/realDonaldTrump/status/1973218518893207825#m,274596,47632
realDonaldTrump,"Oct 1, 2025 · 2:48 AM UTC",What a great couple—Congratulations! President DJT,https://twitter.com/realDonaldTrump/status/1973218327330955749#m,283573,21659
realDonaldTrump,"Sep 30, 2025 · 12:35 AM UTC",,https://twitter.com/realDonaldTrump/status/1972822596397003159#m,465334,82399
realDonaldTrump,"Sep 17, 2025 · 2:08 AM UTC",,https://twitter.com/realDonaldTrump/status/1968134929080082432#m,322804,46289
realDonaldTrump,"Sep 15, 2025 · 6:20 PM UTC","MY son Eric’s just out book, “UNDER SIEGE,” immediately went to NUMBER ONE on Amazon. Great going Eric, you deserve it!!! https://a.co/d/7oPyLF5",https://twitter.com/realDonaldTrump/status/1967654825308590378#m,345139,50849
realDonaldTrump,"Sep 11, 2025 · 1:03 PM UTC",https://x.com/i/broadcasts/1nAKEENWjyeKL,https://twitter.com/realDonaldTrump/status/1966125485894648215#m,165814,22419
realDonaldTrump,"Sep 11, 2025 · 1:15 AM UTC",TO MY GREAT FELLOW AMERICANS…,https://twitter.com/realDonaldTrump/status/1965947311718269341#m,1322338,194519
realDonaldTrump,"Sep 5, 2025 · 2:23 AM UTC",,https://twitter.com/realDonaldTrump/status/1963790032939933822#m,445416,48703
realDonaldTrump,"Sep 5, 2025 · 2:18 AM UTC",,https://twitter.com/realDonaldTrump/status/1963788861743530185#m,231595,28597
realDonaldTrump,"Sep 4, 2025 · 2:24 PM UTC",,https://twitter.com/realDonaldTrump/status/1963609005844017347#m,415128,49254
realDonaldTrump,"Sep 4, 2025 · 12:54 PM UTC",,https://twitter.com/realDonaldTrump/status/1963586403943481687#m,182055,24644
realDonaldTrump,"Sep 4, 2025 · 12:52 PM UTC",,https://twitter.com/realDonaldTrump/status/1963585926354923597#m,276207,36049
realDonaldTrump,"Jul 30, 2025 · 2:16 AM UTC","Due to a massive earthquake that occurred in the Pacific Ocean, a Tsunami Warning is in effect for those living in Hawaii. A Tsunami Watch is in effect for Alaska and the Pacific Coast of the United States. Japan is also in the way. Please visit https://tsunami.gov/ for the latest information. STAY STRONG AND STAY SAFE!",https://twitter.com/realDonaldTrump/status/1950379902789964153#m,460476,65005
realDonaldTrump,"Jul 21, 2025 · 6:36 PM UTC",,https://twitter.com/realDonaldTrump/status/1947365170784669754#m,259485,46572
realDonaldTrump,"Jul 17, 2025 · 2:20 PM UTC",https://truthsocial.com/@realDonaldTrump/114859213229042831,https://twitter.com/realDonaldTrump/status/1945851150948876456#m,82427,13838
realDonaldTrump,"Jul 5, 2025 · 3:41 AM UTC",HAPPY 4TH OF JULY! 🎇🎆🇺🇸🦅,https://twitter.com/realDonaldTrump/status/1941341699374186746#m,493706,55559
realDonaldTrump,"Jul 4, 2025 · 9:17 PM UTC",https://x.com/i/broadcasts/1BRJjmBzAEwGw,https://twitter.com/realDonaldTrump/status/1941244891578904902#m,142426,24009
realDonaldTrump,"Jun 25, 2025 · 4:55 PM UTC",,https://twitter.com/realDonaldTrump/status/1937917613989859810#m,483775,63691
realDonaldTrump,"Jun 25, 2025 · 1:48 AM UTC",,https://twitter.com/realDonaldTrump/status/1937689416501187006#m,542604,66102
realDonaldTrump,"Jun 22, 2025 · 2:30 AM UTC",,https://twitter.com/realDonaldTrump/status/1936612737875956028#m,1224842,113384
realDonaldTrump,"Jun 22, 2025 · 1:54 AM UTC",https://x.com/i/broadcasts/1DXxyqpYydkxM,https://twitter.com/realDonaldTrump/status/1936603680805097741#m,426085,65592
realDonaldTrump,"Jun 21, 2025 · 11:53 PM UTC",,https://twitter.com/realDonaldTrump/status/1936573183634645387#m,1268701,139708
realDonaldTrump,"Jun 17, 2025 · 4:48 PM UTC",,https://twitter.com/realDonaldTrump/status/1935016621569179804#m,603590,62869
realDonaldTrump,"Jun 17, 2025 · 4:47 PM UTC",,https://twitter.com/realDonaldTrump/status/1935016557224050887#m,520948,59890
realDonaldTrump,"Jun 17, 2025 · 4:47 PM UTC",,https://twitter.com/realDonaldTrump/status/1935016454644023767#m,571020,52642
realDonaldTrump,"Jun 14, 2025 · 10:03 PM UTC",https://x.com/i/broadcasts/1ZkKzYrovPaxv,https://twitter.com/realDonaldTrump/status/1934008938334228752#m,315570,51593
realDonaldTrump,"Jun 2, 2025 · 11:52 PM UTC",,https://twitter.com/realDonaldTrump/status/1929687626216280184#m,181601,28046
realDonaldTrump,"Jun 2, 2025 · 5:28 PM UTC",,https://twitter.com/realDonaldTrump/status/1929591031139360976#m,415028,57406
realDonaldTrump,"May 31, 2025 · 12:54 PM UTC",,https://twitter.com/realDonaldTrump/status/1928797140408533377#m,457293,60311
realDonaldTrump,"May 26, 2025 · 7:50 PM UTC",,https://twitter.com/realDonaldTrump/status/1927090010353721796#m,327006,44096
realDonaldTrump,"May 24, 2025 · 2:18 PM UTC",https://x.com/i/broadcasts/1zqKVjMolLwKB,https://twitter.com/realDonaldTrump/status/1926281665929691590#m,120852,21275
realDonaldTrump,"May 22, 2025 · 1:44 PM UTC","“THE ONE, BIG, BEAUTIFUL BILL” has PASSED the House of Representatives! This is arguably the most significant piece of Legislation that will ever be signed in the History of our Country! The Bill includes MASSIVE Tax CUTS, No Tax on Tips, No Tax on Overtime, Tax Deductions when you purchase an American Made Vehicle, along with strong Border Security measures, Pay Raises for our ICE and Border Patrol Agents, Funding for the Golden Dome, “TRUMP Savings Accounts” for newborn babies, and much more! Great job by Speaker Mike Johnson, and the House Leadership, and thank you to every Republican who voted YES on this Historic Bill! Now, it’s time for our friends in the United States Senate to get to work, and send this Bill to my desk AS SOON AS POSSIBLE! There is no time to waste. The Democrats have lost control of themselves, and are aimlessly wandering around, showing no confidence, grit, or determination. They have forgotten their landslide loss in the Presidential Election, and are warped in the past, hoping someday to revive Open Borders for the World’s criminals to be able to pour into our Country, men to be able to play in women’s sports, and transgender for everybody. They don’t realize that these things, and so many more like them, will NEVER AGAIN happen!",https://twitter.com/realDonaldTrump/status/1925548216243703820#m,356676,55468
realDonaldTrump,"May 21, 2025 · 2:47 PM UTC",,https://twitter.com/realDonaldTrump/status/1925201677914603580#m,554488,67248
realDonaldTrump,"May 19, 2025 · 5:50 PM UTC",,https://twitter.com/realDonaldTrump/status/1924523182909747657#m,467584,63294
realDonaldTrump,"May 17, 2025 · 5:31 PM UTC",🇦🇪🇺🇸,https://twitter.com/realDonaldTrump/status/1923793436068487574#m,193248,27425
realDonaldTrump,"May 17, 2025 · 5:29 PM UTC",🇶🇦🇺🇸,https://twitter.com/realDonaldTrump/status/1923793069138178293#m,324990,44630
realDonaldTrump,"May 17, 2025 · 5:27 PM UTC",🇸🇦🇺🇸,https://twitter.com/realDonaldTrump/status/1923792625028497464#m,330385,47804
realDonaldTrump,"May 16, 2025 · 5:37 PM UTC","THE SUPREME COURT IS BEING PLAYED BY THE RADICAL LEFT LOSERS, WHO HAVE NO SUPPORT, THE PUBLIC HATES THEM, AND THEIR ONLY HOPE IS THE INTIMIDATION OF THE COURT, ITSELF. WE CAN’T LET THAT HAPPEN TO OUR COUNTRY!",https://twitter.com/realDonaldTrump/status/1923432648103333919#m,322839,50687
realDonaldTrump,"May 16, 2025 · 5:16 PM UTC","Republicans MUST UNITE behind, “THE ONE, BIG BEAUTIFUL BILL!” Not only does it cut Taxes for ALL Americans, but it will kick millions of Illegal Aliens off of Medicaid to PROTECT it for those who are the ones in real need. The Country will suffer greatly without this Legislation, with their Taxes going up 65%. It will be blamed on the Democrats, but that doesn’t help our Voters. We don’t need “GRANDSTANDERS” in the Republican Party. STOP TALKING, AND GET IT DONE! It is time to fix the MESS that Biden and the Democrats gave us. Thank you for your attention to this matter!",https://twitter.com/realDonaldTrump/status/1923427418913616200#m,236914,41566
realDonaldTrump,"May 13, 2025 · 5:47 PM UTC",https://x.com/i/broadcasts/1OdKrDyQPLyJX,https://twitter.com/realDonaldTrump/status/1922347924987474196#m,144662,28295
realDonaldTrump,"May 12, 2025 · 12:54 PM UTC",,https://twitter.com/realDonaldTrump/status/1921911904429088892#m,449941,53464
realDonaldTrump,"May 12, 2025 · 12:54 PM UTC",,https://twitter.com/realDonaldTrump/status/1921911844026954234#m,279865,39001
realDonaldTrump,"May 11, 2025 · 10:52 PM UTC",,https://twitter.com/realDonaldTrump/status/1921699954696855934#m,352090,43308
realDonaldTrump,"May 10, 2025 · 12:03 PM UTC",,https://twitter.com/realDonaldTrump/status/1921174163848401313#m,1001614,120574
realDonaldTrump,"May 10, 2025 · 1:04 AM UTC","Today, I signed an Executive Order to launch the first-ever self-deportation program. Illegal aliens who stay in America face punishments, including—sudden deportation, in a place and manner solely of our discretion. TO ALL ILLEGAL ALIENS: BOOK YOUR FREE FLIGHT RIGHT NOW!",https://twitter.com/realDonaldTrump/status/1921008311492624867#m,478827,72906
realDonaldTrump,"May 9, 2025 · 2:40 AM UTC",🇺🇸🇬🇧,https://twitter.com/realDonaldTrump/status/1920670100987740317#m,286640,33759
realDonaldTrump,"May 8, 2025 · 4:40 PM UTC",https://x.com/i/broadcasts/1djGXVvXgOjxZ,https://twitter.com/realDonaldTrump/status/1920519130941170088#m,96499,17988
realDonaldTrump,"May 6, 2025 · 6:27 PM UTC",Democratic Rep. Jasmine Crockett accused of ‘abusing her power’ at airport after she cut passengers in wheelchairs https://trib.al/Dscc1R8,https://twitter.com/nypost/status/1919821368733888617#m,22478,6607
realDonaldTrump,"May 7, 2025 · 2:38 AM UTC",,https://twitter.com/realDonaldTrump/status/1919944872020127980#m,212032,28506
realDonaldTrump,"May 5, 2025 · 5:41 PM UTC",https://x.com/i/broadcasts/1kvJpydAjXwxE,https://twitter.com/realDonaldTrump/status/1919447302982299811#m,61093,12000
realDonaldTrump,"May 5, 2025 · 3:54 PM UTC","This was so wonderful, 9 years ago today!",https://twitter.com/realDonaldTrump/status/1919420490663288913#m,364480,30203
realDonaldTrump,"May 5, 2025 · 2:28 PM UTC",,https://twitter.com/realDonaldTrump/status/1919398681423299068#m,152250,24901
realDonaldTrump,"May 5, 2025 · 2:23 PM UTC",,https://twitter.com/realDonaldTrump/status/1919397513032790522#m,127227,21676
realDonaldTrump,"May 5, 2025 · 2:21 PM UTC","The Democrats are really out of control. They have lost everything, especially their minds! These Radical Left Lunatics are into the “Impeachment thing” again. They have already got two “No Name,” little respected Congressmen, total Whackjobs both, throwing the “Impeachment” of DONALD J. TRUMP around, for about the 20th time, even though they have no idea for what I would be Impeached. Maybe it should be for cleaning up the MESS that they left us on the Border, or the Highest Inflation in our Country’s History or, perhaps, it should be the incompetent Withdrawal from Afghanistan, or Russia, Russia, Russia/Ukraine, Ukraine, Ukraine, or the Attack of Israel on October 7th that only proceeded because they allowed Iran to regain Great Wealth. These Congressmen stated that, they didn’t know why they would Impeach me but, “We just want to do it.” The Republicans should start to think about expelling them from Congress for all of the crimes that they have committed, especially around Election time(s). These are very dishonest people that won’t let our Country heal! Why do we allow them to continuously use Impeachment as a weapon against the President of the United States who, by all accounts, is working hard to SAVE OUR COUNTRY. It’s the same playbook that they used in my First Term, and Republicans are not going to allow them to get away with it again. These are total LOWLIFES, who hate our Country, and everything it stands for. Perhaps we should start playing this game on them, and expel Democrats for the many crimes that they have committed — And these are REAL crimes. Remember, “Shifty” Adam Schiff demanded a Pardon, and they had to use the power of the Auto Pen, and a Full Pardon, for him and the Unselect Committee of Political Thugs, to save them from Expulsion, and probably worse!",https://twitter.com/realDonaldTrump/status/1919396921593958754#m,209711,35432
realDonaldTrump,"May 5, 2025 · 2:17 PM UTC","REBUILD, AND OPEN ALCATRAZ! For too long, America has been plagued by vicious, violent, and repeat Criminal Offenders, the dregs of society, who will never contribute anything other than Misery and Suffering. When we were a more serious Nation, in times past, we did not hesitate to lock up the most dangerous criminals, and keep them far away from anyone they could harm. That’s the way it’s supposed to be. No longer will we tolerate these Serial Offenders who spread filth, bloodshed, and mayhem on our streets. That is why, today, I am directing the Bureau of Prisons, together with the Department of Justice, FBI, and Homeland Security, to reopen a substantially enlarged and rebuilt ALCATRAZ, to house America’s most ruthless and violent Offenders. We will no longer be held hostage to criminals, thugs, and Judges that are afraid to do their job and allow us to remove criminals, who came into our Country illegally. The reopening of ALCATRAZ will serve as a symbol of Law, Order, and JUSTICE. We will, MAKE AMERICA GREAT AGAIN!",https://twitter.com/realDonaldTrump/status/1919395973802897676#m,248829,39586
realDonaldTrump,"May 5, 2025 · 2:16 PM UTC",,https://twitter.com/realDonaldTrump/status/1919395751030923738#m,232278,26869
realDonaldTrump,"May 2, 2025 · 2:07 AM UTC",,https://twitter.com/realDonaldTrump/status/1918125229420732456#m,172538,31842
realDonaldTrump,"May 2, 2025 · 2:07 AM UTC",,https://twitter.com/realDonaldTrump/status/1918125161058058627#m,173241,38579
realDonaldTrump,"Apr 28, 2025 · 2:28 PM UTC","Join me tomorrow, April 29th—in Warren, Michigan at 6:00PM Eastern! https://events.gop.com/events/president-donald-j-trump-to-hold-a-rally-in-warren-michigan",https://twitter.com/realDonaldTrump/status/1916861996021989540#m,109742,20666
realDonaldTrump,"Apr 23, 2025 · 11:44 PM UTC",A conversation about online child predators with Homeland Security and John Rich: PLS Repost! https://x.com/i/broadcasts/1ypJdZovBOYKW,https://twitter.com/johnrich/status/1915190100058923202#m,25201,11931
realDonaldTrump,"Apr 18, 2025 · 10:30 PM UTC","Sleepy Joe Biden, THE WORST PRESIDENT IN THE HISTORY OF THE UNITED STATES, has allowed millions and millions of Criminals, many of them murderers, drug dealers, and people released from prisons and mental institutions from all around the world, to enter our Country through it’s very dangerous and ill conceived Open Border. Sorry, but it’s my job to get these killers and thugs out of here. THAT’S WHAT I GOT ELECTED TO DO. MAGA!",https://twitter.com/realDonaldTrump/status/1913359413215142354#m,378923,54235
realDonaldTrump,"Apr 18, 2025 · 10:28 PM UTC","Following my Day One Executive Order, the Office of Personnel Management will be issuing new Civil Service Regulations for career government employees. Moving forward, career government employees, working on policy matters, will be classified as “Schedule Policy/Career,” and will be held to the highest standards of conduct and performance. If these government workers refuse to advance the policy interests of the President, or are engaging in corrupt behavior, they should no longer have a job. This is common sense, and will allow the federal government to finally be “run like a business.” We must root out corruption and implement accountability in our Federal Workforce!",https://twitter.com/realDonaldTrump/status/1913359035132158083#m,197577,33402
realDonaldTrump,"Apr 18, 2025 · 10:27 PM UTC","This is the hand of the man that the Democrats feel should be brought back to the United States, because he is such “a fine and innocent person.” They said he is not a member of MS-13, even though he’s got MS-13 tattooed onto his knuckles, and two Highly Respected Courts found that he was a member of MS-13, beat up his wife, etc. I was elected to take bad people out of the United States, among other things. I must be allowed to do my job. MAKE AMERICA GREAT AGAIN!",https://twitter.com/realDonaldTrump/status/1913358867708493982#m,478858,78303
realDonaldTrump,"Apr 16, 2025 · 1:44 PM UTC",,https://twitter.com/realDonaldTrump/status/1912502477359894605#m,148478,22413
realDonaldTrump,"Apr 7, 2025 · 2:56 PM UTC","The United States has a chance to do something that should have been done DECADES AGO. Don’t be Weak! Don’t be Stupid! Don’t be a PANICAN (A new party based on Weak and Stupid people!). Be Strong, Courageous, and Patient, and GREATNESS will be the result!",https://twitter.com/realDonaldTrump/status/1909258878035828788#m,490690,69853
realDonaldTrump,"Apr 7, 2025 · 2:55 PM UTC","Oil prices are down, interest rates are down (the slow moving Fed should cut rates!), food prices are down, there is NO INFLATION, and the long time abused USA is bringing in Billions of Dollars a week from the abusing countries on Tariffs that are already in place. This is despite the fact that the biggest abuser of them all, China, whose markets are crashing, just raised its Tariffs by 34%, on top of its long term ridiculously high Tariffs (Plus!), not acknowledging my warning for abusing countries not to retaliate. They’ve made enough, for decades, taking advantage of the Good OL’ USA! Our past “leaders” are to blame for allowing this, and so much else, to happen to our Country. MAKE AMERICA GREAT AGAIN!",https://twitter.com/realDonaldTrump/status/1909258777380974625#m,489006,66304
realDonaldTrump,"Apr 4, 2025 · 11:27 PM UTC","These Houthis gathered for instructions on an attack. Oops, there will be no attack by these Houthis!   They will never sink our ships again!",https://twitter.com/realDonaldTrump/status/1908300360810479821#m,464098,59110
realDonaldTrump,"Apr 3, 2025 · 1:08 PM UTC",,https://twitter.com/realDonaldTrump/status/1907782254572470670#m,176561,30849
realDonaldTrump,"Apr 2, 2025 · 8:07 PM UTC",https://x.com/i/broadcasts/1DXGyqbjAoVGM,https://twitter.com/realDonaldTrump/status/1907525286150754745#m,115806,23239
realDonaldTrump,"Apr 2, 2025 · 3:47 PM UTC",,https://twitter.com/realDonaldTrump/status/1907459922113028104#m,153128,28901
realDonaldTrump,"Apr 2, 2025 · 1:42 PM UTC",,https://twitter.com/realDonaldTrump/status/1907428426648023398#m,367841,45455
realDonaldTrump,"Apr 1, 2025 · 8:53 PM UTC","REPUBLICANS MUST DEFUND AND TOTALLY DISASSOCIATE THEMSELVES FROM NPR & PBS, THE RADICAL LEFT “MONSTERS” THAT SO BADLY HURT OUR COUNTRY!",https://twitter.com/realDonaldTrump/status/1907174400144589035#m,255472,37582
realDonaldTrump,"Mar 31, 2025 · 6:49 PM UTC","The Iran-backed Houthi Terrorists have been decimated by the relentless strikes over the past two weeks. Many of their Fighters and Leaders are no longer with us. We hit them every day and night — Harder and harder. Their capabilities that threaten Shipping and the Region are rapidly being destroyed. Our attacks will continue until they are no longer a threat to Freedom of Navigation. The choice for the Houthis is clear: Stop shooting at U.S. ships, and we will stop shooting at you. Otherwise, we have only just begun, and the real pain is yet to come, for both the Houthis and their sponsors in Iran.",https://twitter.com/realDonaldTrump/status/1906780985888522694#m,259176,38102
realDonaldTrump,"Mar 31, 2025 · 6:49 PM UTC","There will never have been a transformation of a Country like the transformation that is happening, for all to see, in the United States of America. Companies are pouring into our Country at levels never seen before, with Jobs (and Money!) to follow. It is a beautiful thing to watch!",https://twitter.com/realDonaldTrump/status/1906780813204836475#m,357090,49507
realDonaldTrump,"Mar 31, 2025 · 6:48 PM UTC","In two months, there has been more Private Investment spoken for, and/or committed to, than in four years of the Sleepy Joe Biden Administration — A fact that the Fake News hates talking about!",https://twitter.com/realDonaldTrump/status/1906780560141250562#m,172785,24352
realDonaldTrump,"Mar 31, 2025 · 6:16 PM UTC","Thank you President Bukele, of El Salvador, for taking the criminals that were so stupidly allowed, by the Crooked Joe Biden Administration, to enter our Country, and giving them such a wonderful place to live!",https://twitter.com/realDonaldTrump/status/1906772680805646368#m,347199,55402
